# (1)	(2)
# kT	c
6.233082580566406250e+01	1.493143588304519653e-01
6.255638885498046875e+01	1.483068466186523438e-01
6.278195571899414062e+01	1.473090350627899170e-01
6.300751876831054688e+01	1.463207602500915527e-01
6.323308181762695312e+01	1.453419774770736694e-01
6.345864486694335938e+01	1.443724930286407471e-01
6.368421173095703125e+01	1.434122622013092041e-01
6.390977478027343750e+01	1.424611657857894897e-01
6.413533782958984375e+01	1.415190994739532471e-01
6.436090087890625000e+01	1.405858844518661499e-01
6.458646392822265625e+01	1.396615505218505859e-01
6.481202697753906250e+01	1.387458741664886475e-01
6.503759002685546875e+01	1.378387659788131714e-01
6.526316070556640625e+01	1.369401514530181885e-01
6.548872375488281250e+01	1.360499560832977295e-01
6.571428680419921875e+01	1.351680308580398560e-01
6.593984985351562500e+01	1.342943459749221802e-01
6.616541290283203125e+01	1.334287077188491821e-01
6.639097595214843750e+01	1.325710713863372803e-01
6.661653900146484375e+01	1.317213475704193115e-01
6.684210205078125000e+01	1.308794468641281128e-01
6.706766510009765625e+01	1.300452649593353271e-01
6.729323577880859375e+01	1.292187720537185669e-01
6.751879882812500000e+01	1.283997744321823120e-01
6.774436187744140625e+01	1.275882124900817871e-01
6.796992492675781250e+01	1.267840415239334106e-01
6.819548797607421875e+01	1.259872019290924072e-01
6.842105102539062500e+01	1.251975148916244507e-01
6.864661407470703125e+01	1.244150027632713318e-01
6.887217712402343750e+01	1.236394867300987244e-01
6.909774017333984375e+01	1.228709593415260315e-01
6.932331085205078125e+01	1.221092790365219116e-01
6.954887390136718750e+01	1.213544085621833801e-01
6.977443695068359375e+01	1.206062883138656616e-01
7.000000000000000000e+01	1.198647767305374146e-01
7.022556304931640625e+01	1.191298812627792358e-01
7.045112609863281250e+01	1.184014752507209778e-01
7.067668914794921875e+01	1.176794618368148804e-01
7.090225219726562500e+01	1.169638335704803467e-01
7.112782287597656250e+01	1.162544786930084229e-01
7.135338592529296875e+01	1.155513077974319458e-01
7.157894897460937500e+01	1.148543208837509155e-01
7.180451202392578125e+01	1.141633987426757812e-01
7.203007507324218750e+01	1.134784817695617676e-01
7.225563812255859375e+01	1.127995029091835022e-01
7.248120117187500000e+01	1.121263727545738220e-01
7.270676422119140625e+01	1.114590913057327271e-01
7.293232727050781250e+01	1.107975319027900696e-01
7.315789794921875000e+01	1.101416349411010742e-01
7.338346099853515625e+01	1.094913706183433533e-01
7.360902404785156250e+01	1.088466346263885498e-01
7.383458709716796875e+01	1.082074716687202454e-01
7.406015014648437500e+01	1.075736805796623230e-01
7.428571319580078125e+01	1.069452911615371704e-01
7.451127624511718750e+01	1.063222363591194153e-01
7.473683929443359375e+01	1.057044193148612976e-01
7.496240234375000000e+01	1.050918102264404297e-01
7.518797302246093750e+01	1.044843196868896484e-01
7.541353607177734375e+01	1.038819402456283569e-01
7.563909912109375000e+01	1.032845824956893921e-01
7.586466217041015625e+01	1.026922762393951416e-01
7.609022521972656250e+01	1.021048277616500854e-01
7.631578826904296875e+01	1.015222892165184021e-01
7.654135131835937500e+01	1.009445786476135254e-01
7.676691436767578125e+01	1.003716289997100830e-01
7.699247741699218750e+01	9.980339556932449341e-02
7.721804809570312500e+01	9.923982620239257812e-02
7.744361114501953125e+01	9.868089854717254639e-02
7.766917419433593750e+01	9.812656044960021973e-02
7.789473724365234375e+01	9.757671505212783813e-02
7.812030029296875000e+01	9.703134000301361084e-02
7.834586334228515625e+01	9.649045020341873169e-02
7.857142639160156250e+01	9.595390409231185913e-02
7.879698944091796875e+01	9.542172402143478394e-02
7.902255249023437500e+01	9.489382058382034302e-02
7.924812316894531250e+01	9.437013417482376099e-02
7.947368621826171875e+01	9.385069459676742554e-02
7.969924926757812500e+01	9.333543479442596436e-02
7.992481231689453125e+01	9.282425791025161743e-02
8.015037536621093750e+01	9.231719374656677246e-02
8.037593841552734375e+01	9.181411564350128174e-02
8.060150146484375000e+01	9.131504595279693604e-02
8.082706451416015625e+01	9.081994742155075073e-02
8.105262756347656250e+01	9.032873064279556274e-02
8.127819824218750000e+01	8.984140306711196899e-02
8.150376129150390625e+01	8.935790508985519409e-02
8.172932434082031250e+01	8.887820690870285034e-02
8.195488739013671875e+01	8.840225636959075928e-02
8.218045043945312500e+01	8.793002367019653320e-02
8.240601348876953125e+01	8.746147155761718750e-02
8.263157653808593750e+01	8.699656277894973755e-02
8.285713958740234375e+01	8.653528243303298950e-02
8.308271026611328125e+01	8.607754111289978027e-02
8.330827331542968750e+01	8.562330156564712524e-02
8.353383636474609375e+01	8.517263829708099365e-02
8.375939941406250000e+01	8.472537249326705933e-02
8.398496246337890625e+01	8.428157120943069458e-02
8.421052551269531250e+01	8.384113758802413940e-02
8.443608856201171875e+01	8.340410888195037842e-02
8.466165161132812500e+01	8.297037333250045776e-02
