# (1)	(2)
# kT	c
6.593984985351562500e+01	1.228176727890968323e-01
6.616541290283203125e+01	1.224088370800018311e-01
6.639097595214843750e+01	1.220027282834053040e-01
6.661653900146484375e+01	1.215992644429206848e-01
6.684210205078125000e+01	1.211984455585479736e-01
6.706766510009765625e+01	1.208002790808677673e-01
6.729323577880859375e+01	1.204046681523323059e-01
6.751879882812500000e+01	1.200116127729415894e-01
6.774436187744140625e+01	1.196211576461791992e-01
6.796992492675781250e+01	1.192331761121749878e-01
6.819548797607421875e+01	1.188477873802185059e-01
6.842105102539062500e+01	1.184647753834724426e-01
6.864661407470703125e+01	1.180841997265815735e-01
6.887217712402343750e+01	1.177060827612876892e-01
6.909774017333984375e+01	1.173303648829460144e-01
6.932331085205078125e+01	1.169570162892341614e-01
6.954887390136718750e+01	1.165860816836357117e-01
6.977443695068359375e+01	1.162174418568611145e-01
7.000000000000000000e+01	1.158511042594909668e-01
7.022556304931640625e+01	1.154869869351387024e-01
7.045112609863281250e+01	1.151252239942550659e-01
7.067668914794921875e+01	1.147656813263893127e-01
7.090225219726562500e+01	1.144084185361862183e-01
7.112782287597656250e+01	1.140533164143562317e-01
7.135338592529296875e+01	1.137004420161247253e-01
7.157894897460937500e+01	1.133497282862663269e-01
7.180451202392578125e+01	1.130011603236198425e-01
7.203007507324218750e+01	1.126546487212181091e-01
7.225563812255859375e+01	1.123102903366088867e-01
7.248120117187500000e+01	1.119680255651473999e-01
7.270676422119140625e+01	1.116279065608978271e-01
7.293232727050781250e+01	1.112897321581840515e-01
7.315789794921875000e+01	1.109536364674568176e-01
7.338346099853515625e+01	1.106195300817489624e-01
7.360902404785156250e+01	1.102873831987380981e-01
7.383458709716796875e+01	1.099573448300361633e-01
7.406015014648437500e+01	1.096291169524192810e-01
7.428571319580078125e+01	1.093029603362083435e-01
7.451127624511718750e+01	1.089786440134048462e-01
7.473683929443359375e+01	1.086563095450401306e-01
7.496240234375000000e+01	1.083358004689216614e-01
7.518797302246093750e+01	1.080172061920166016e-01
7.541353607177734375e+01	1.077005118131637573e-01
7.563909912109375000e+01	1.073855683207511902e-01
7.586466217041015625e+01	1.070725172758102417e-01
7.609022521972656250e+01	1.067612990736961365e-01
7.631578826904296875e+01	1.064518019556999207e-01
7.654135131835937500e+01	1.061442270874977112e-01
7.676691436767578125e+01	1.058382317423820496e-01
7.699247741699218750e+01	1.055340841412544250e-01
7.721804809570312500e+01	1.052316576242446899e-01
7.744361114501953125e+01	1.049309000372886658e-01
7.766917419433593750e+01	1.046319529414176941e-01
7.789473724365234375e+01	1.043346524238586426e-01
7.812030029296875000e+01	1.040390059351921082e-01
7.834586334228515625e+01	1.037450805306434631e-01
7.857142639160156250e+01	1.034527495503425598e-01
7.879698944091796875e+01	1.031620949506759644e-01
7.902255249023437500e+01	1.028730496764183044e-01
7.924812316894531250e+01	1.025856062769889832e-01
7.947368621826171875e+01	1.022998094558715820e-01
7.969924926757812500e+01	1.020154654979705811e-01
7.992481231689453125e+01	1.017327606678009033e-01
8.015037536621093750e+01	1.014516875147819519e-01
8.037593841552734375e+01	1.011720672249794006e-01
8.060150146484375000e+01	1.008940488100051880e-01
8.082706451416015625e+01	1.006174981594085693e-01
8.105262756347656250e+01	1.003424376249313354e-01
8.127819824218750000e+01	1.000688821077346802e-01
8.150376129150390625e+01	9.979680180549621582e-02
8.172932434082031250e+01	9.952624142169952393e-02
8.195488739013671875e+01	9.925711154937744141e-02
8.218045043945312500e+01	9.898943454027175903e-02
8.240601348876953125e+01	9.872314333915710449e-02
8.263157653808593750e+01	9.845837950706481934e-02
8.285713958740234375e+01	9.819494932889938354e-02
8.308271026611328125e+01	9.793289005756378174e-02
8.330827331542968750e+01	9.767227619886398315e-02
8.353383636474609375e+01	9.741304069757461548e-02
8.375939941406250000e+01	9.715516120195388794e-02
8.398496246337890625e+01	9.689864516258239746e-02
8.421052551269531250e+01	9.664347767829895020e-02
8.443608856201171875e+01	9.638962894678115845e-02
8.466165161132812500e+01	9.613709896802902222e-02
8.488721466064453125e+01	9.588592499494552612e-02
8.511278533935546875e+01	9.563606232404708862e-02
8.533834838867187500e+01	9.538745880126953125e-02
8.556391143798828125e+01	9.514011442661285400e-02
8.578947448730468750e+01	9.489405900239944458e-02
8.601503753662109375e+01	9.464933723211288452e-02
8.624060058593750000e+01	9.440582245588302612e-02
8.646616363525390625e+01	9.416353702545166016e-02
8.669172668457031250e+01	9.392247349023818970e-02
8.691728973388671875e+01	9.368269890546798706e-02
8.714286041259765625e+01	9.344410896301269531e-02
8.736842346191406250e+01	9.320670366287231445e-02
8.759398651123046875e+01	9.297049790620803833e-02
8.781954956054687500e+01	9.273552149534225464e-02
8.804511260986328125e+01	9.250172972679138184e-02
8.827067565917968750e+01	9.226906299591064453e-02
8.849623870849609375e+01	9.203764051198959351e-02
8.872180175781250000e+01	9.180729091167449951e-02
8.894736480712890625e+01	9.157811105251312256e-02
8.917293548583984375e+01	9.135005623102188110e-02
8.939849853515625000e+01	9.112320840358734131e-02
8.962406158447265625e+01	9.089734405279159546e-02
8.984962463378906250e+01	9.067272394895553589e-02
9.007518768310546875e+01	9.044911712408065796e-02
9.030075073242187500e+01	9.022669494152069092e-02
9.052631378173828125e+01	9.000530838966369629e-02
9.075187683105468750e+01	8.978495746850967407e-02
9.097743988037109375e+01	8.956579118967056274e-02
9.120301055908203125e+01	8.934760093688964844e-02
9.142857360839843750e+01	8.913047611713409424e-02
9.165413665771484375e+01	8.891446143388748169e-02
9.187969970703125000e+01	8.869944512844085693e-02
9.210526275634765625e+01	8.848544210195541382e-02
9.233082580566406250e+01	8.827248960733413696e-02
9.255638885498046875e+01	8.806058764457702637e-02
9.278195190429687500e+01	8.784965425729751587e-02
9.300751495361328125e+01	8.763965964317321777e-02
9.323308563232421875e+01	8.743076026439666748e-02
9.345864868164062500e+01	8.722282201051712036e-02
9.368421173095703125e+01	8.701587468385696411e-02
9.390977478027343750e+01	8.680990338325500488e-02
9.413533782958984375e+01	8.660495281219482422e-02
9.436090087890625000e+01	8.640091121196746826e-02
9.458646392822265625e+01	8.619786053895950317e-02
9.481202697753906250e+01	8.599569648504257202e-02
9.503759765625000000e+01	8.579453080892562866e-02
9.526316070556640625e+01	8.559425175189971924e-02
9.548872375488281250e+01	8.539497107267379761e-02
9.571428680419921875e+01	8.519657701253890991e-02
9.593984985351562500e+01	8.499905467033386230e-02
9.616541290283203125e+01	8.480247110128402710e-02
9.639097595214843750e+01	8.460683375597000122e-02
9.661653900146484375e+01	8.441208302974700928e-02
9.684210205078125000e+01	8.421819657087326050e-02
9.706767272949218750e+01	8.402524143457412720e-02
9.729323577880859375e+01	8.383312821388244629e-02
9.751879882812500000e+01	8.364184945821762085e-02
9.774436187744140625e+01	8.345153182744979858e-02
9.796992492675781250e+01	8.326202630996704102e-02
9.819548797607421875e+01	8.307345211505889893e-02
9.842105102539062500e+01	8.288561552762985229e-02
9.864661407470703125e+01	8.269865810871124268e-02
9.887217712402343750e+01	8.251256495714187622e-02
9.909774780273437500e+01	8.232731372117996216e-02
9.932331085205078125e+01	8.214282244443893433e-02
9.954887390136718750e+01	8.195921033620834351e-02
9.977443695068359375e+01	8.177642524242401123e-02
1.000000000000000000e+02	8.159440755844116211e-02
